iter	Logloss
0	0.6747662392
1	0.6463133536
2	0.6334389731
3	0.6134675652
4	0.5979200095
5	0.5795707658
6	0.5565902114
7	0.5349309623
8	0.5174824834
9	0.5055039942
10	0.489576906
11	0.4785593808
12	0.4702887982
13	0.4573313743
14	0.4411561698
15	0.4258246362
16	0.4169259757
17	0.4080095083
18	0.3965263367
19	0.3865072906
20	0.3768837541
21	0.3647890955
22	0.353287077
23	0.342344594
24	0.3360337287
25	0.3299445391
26	0.3201381087
27	0.3144905299
28	0.3090350777
29	0.3022314012
30	0.2956798613
31	0.2893512994
32	0.2856231481
33	0.2809343994
34	0.2751178741
35	0.2677413762
36	0.2623496443
37	0.2591804504
38	0.2549524456
39	0.2499996364
40	0.2436724961
41	0.2408803254
42	0.2349135011
43	0.2305707201
44	0.2250033394
45	0.2209795445
46	0.2158100754
47	0.2108286604
48	0.2060333267
49	0.2039341643
50	0.2018709645
51	0.1974009201
52	0.1930915147
53	0.1899504989
54	0.1869049773
55	0.1839394405
56	0.1801031172
57	0.1773248971
58	0.1757070541
59	0.1721596494
60	0.1687336504
61	0.1654272959
62	0.1622352421
63	0.1591497183
64	0.1569117218
65	0.1539890677
66	0.1518607363
67	0.1491019517
68	0.1464303955
69	0.1438424587
70	0.1413370818
71	0.1389148951
72	0.1365663722
73	0.1342728615
74	0.132043989
75	0.1298736587
76	0.1277651936
77	0.1257201657
78	0.1237250552
79	0.1217903838
80	0.1199252591
81	0.1181117997
82	0.1163444683
83	0.1146223217
84	0.1129422665
85	0.1113057449
86	0.1097075298
87	0.1081509732
88	0.1066334412
89	0.1051518202
90	0.1037055336
91	0.1022958614
92	0.1009180553
93	0.09957319722
94	0.09826095104
95	0.09698050022
96	0.09572930411
97	0.09450652599
98	0.09331189767
99	0.09214475155
