iter	Passed	Remaining
0	143	14232
1	144	7061
2	144	4674
3	144	3476
4	145	2758
5	145	2278
6	145	1935
7	145	1677
8	146	1477
9	146	1319
10	146	1188
11	147	1079
12	147	988
13	148	910
14	148	841
15	148	781
16	149	728
17	149	681
18	149	639
19	150	601
20	150	566
21	150	535
22	151	506
23	151	479
24	151	455
25	152	433
26	152	412
27	152	392
28	153	374
29	153	357
30	153	341
31	153	327
32	154	313
33	154	300
34	155	288
35	155	276
36	155	265
37	156	254
38	156	245
39	157	235
40	157	226
41	157	217
42	158	209
43	158	201
44	158	194
45	159	186
46	159	180
47	159	173
48	160	166
49	160	160
50	161	154
51	161	148
52	161	143
53	161	137
54	161	132
55	162	127
56	162	122
57	162	117
58	162	113
59	163	108
60	163	104
61	163	100
62	163	96
63	163	92
64	164	88
65	164	84
66	165	81
67	165	77
68	165	74
69	165	71
70	166	67
71	166	64
72	166	61
73	166	58
74	167	55
75	167	52
76	167	50
77	167	47
78	167	44
79	167	41
80	168	39
81	168	36
82	168	34
83	169	32
84	169	29
85	169	27
86	169	25
87	170	23
88	170	21
89	171	19
90	171	16
91	171	14
92	171	12
93	171	10
94	171	9
95	172	7
96	172	5
97	172	3
98	172	1
99	172	0
